date,price_usd,volume_24h_usd,market_cap_usd
2023-12-31,2291.9452373089084,6888035330.64,275452259924.902
2024-01-01,2281.7965529608236,6871572860.64,274233377052.0234
2024-01-02,2352.593604086928,6907717564.71,282743933245.53705
2024-01-03,2355.9813482122668,12904600567.35,283153784596.495
2024-01-04,2210.5291477288556,19333975864.7,265673540981.19577
2024-01-05,2269.4093385458705,11044642610.48,272747104908.21423
2024-01-06,2269.539916753311,10861426970.4,272762905624.41043
2024-01-07,2242.0126967214974,5971160518.18,269455154927.95142
2024-01-08,2222.857691307016,6490288226.4,267154224206.03735
2024-01-09,2332.868101366903,13830869251.62,280373859990.2472
2024-01-10,2344.9235891054873,14896453880.87,281822195027.5148
2024-01-11,2584.171512554085,29043523157.3,310576510079.5105
2024-01-12,2619.1769670111726,22570281018.34,314779137147.2321
2024-01-13,2522.9338061612484,23625914079.16,303209692408.87085
2024-01-14,2578.003740017632,12251672465.22,309827594268.34326
2024-01-15,2471.6668709651663,9409025082.23,297049202414.7473
2024-01-16,2510.6273124722397,9701070710.93,301729246993.2768
2024-01-17,2587.044657738529,11064643246.48,310913015990.4311
2024-01-18,2528.593145677652,10442487736.59,303885662565.2858
2024-01-19,2468.688866078645,11898761295.3,296682671602.8978
2024-01-20,2489.8476758871207,11403987357.14,299222585362.7235
2024-01-21,2469.7985924003747,5298531922.86,296808097460.5056
2024-01-22,2454.9874059846975,4579035016.16,295032863314.1844
2024-01-23,2310.951589518,13926095724.46,277725402692.8032
2024-01-24,2241.7498719377113,16179002332.7,269409726206.4197
2024-01-25,2233.96987105602,10134991903.56,268476520253.00073
2024-01-26,2217.441812726008,9300906648.44,266492473194.09085
2024-01-27,2267.3192417340506,9974134948.39,272486334169.0319
2024-01-28,2268.19279985891,5143656543.29,272592097858.73444
2024-01-29,2256.9952487753985,7295862258.42,271248506562.9861
2024-01-30,2317.435725800609,8948012668.77,278514799799.2115
2024-01-31,2343.558868043973,10173024568.55,281656648301.8653
2024-02-01,2282.1753010672064,10807593711.4,274278265812.88992
2024-02-02,2303.7059843835173,8895200729.28,276865235003.81726
2024-02-03,2307.9801895256915,7186143091.24,277377786405.3016
2024-02-04,2296.116940374807,4647710082.32,275951229578.09
2024-02-05,2289.2054477896063,5438106451.02,275122592462.4801
2024-02-06,2298.955163606345,7276754673.46,276295848589.2967
2024-02-07,2372.262714223233,9521601650.48,285107173321.7738
2024-02-08,2424.0801360881387,9660628536.26,291331225214.0774
2024-02-09,2419.7736836978324,9941206024.75,290809061784.0325
2024-02-10,2487.6503402795342,13636420394.52,298957777734.26514
2024-02-11,2501.1299205658315,6473607735.97,300565713106.8423
2024-02-12,2507.5789107653636,7347471953.81,301337204028.0379
2024-02-13,2659.586218887778,13028241104.26,319602469115.20355
2024-02-14,2641.6853848121627,18267545506.41,317446503005.15594
2024-02-15,2777.601433434655,21449031198.65,333776881953.10114
2024-02-16,2825.4806399763334,23736337882.55,339529289637.7971
2024-02-17,2803.7357237470055,17055693705.67,336912574522.8865
2024-02-18,2786.709723595824,17931939458.42,334865312939.13007
2024-02-19,2881.2969827349034,23362906376.52,346232360557.8033
2024-02-20,2944.1065480001766,15162517653.21,353780071871.1954
2024-02-21,3015.6532748238774,20343045699.39,362374402804.4631
2024-02-22,2969.599788780698,18896319653.9,356835736505.48315
2024-02-23,2970.1395572874976,18058386091.68,356895147045.0823
2024-02-24,2921.9629837563266,12822508885.03,351098520089.6867
2024-02-25,2992.3667151031173,10701455114.37,359552435835.3614
2024-02-26,3112.5290211809292,14622614509.54,373989110649.2018
2024-02-27,3178.4049668240145,17504337543.84,381902639404.4805
2024-02-28,3243.893190606028,21093064700.44,389765579099.10065
2024-02-29,3386.8026685869027,32899836458.94,406927717510.0531
2024-03-01,3341.9657966510918,28457355114,401527460334.21173
2024-03-02,3436.1591270650974,16876749215.73,412827318103.2441
2024-03-03,3422.875227855541,12024337837.92,411220376778.1495
2024-03-04,3489.340085297017,13647334861.58,419196077302.3762
2024-03-05,3631.9289398050555,26771820706.68,436315015919.2447
2024-03-06,3558.455179459192,47705715256.94,427467014311.7025
2024-03-07,3819.4351657657685,34941392288.34,458789765269.9456
2024-03-08,3875.0786329907623,22453017991.94,465451293698.80676
2024-03-09,3891.9781729842243,26131983035.92,467462260270.2151
2024-03-10,3913.7165998246805,11927156383.25,470057648001.5722
2024-03-11,3882.1181177947897,15792544231.93,466249382572.1744
2024-03-12,4066.0374848818897,28806211515.33,488323364793.5661
2024-03-13,3980.0813990570405,26919226952.16,477981820920.92694
2024-03-14,4006.688447287689,22028565522.67,481161706395.3742
2024-03-15,3880.223932456645,25435357556.28,465959879813.4906
2024-03-16,3742.197892976595,33506499030.08,449373272428.06696
2024-03-17,3520.284002694539,20207864383.85,422717711013.5554
2024-03-18,3642.1851812506766,19936222397.23,437351708856.42365
2024-03-19,3519.9801220850295,21162220223.79,422675313837.18994
2024-03-20,3158.465741763556,34176814330.74,379260436980.25696
2024-03-21,3516.4045918347115,36603863194.52,422234613303.4221
2024-03-22,3492.0039726103882,22213287385.13,419299978179.06335
2024-03-23,3336.071614137688,20584862086.9,400573821014.881
2024-03-24,3332.378219247218,13240034536.99,400130080176.40295
2024-03-25,3453.693764350705,12111190159.01,414698079995.2908
2024-03-26,3590.941008161839,18602258634.58,431179588603.72534
2024-03-27,3587.529141068716,18505676251.04,430769032489.6594
2024-03-28,3500.01626258296,18752252581.74,420258205445.6213
2024-03-29,3561.4234046027045,16417872136.53,427626669365.37085
2024-03-30,3511.3431215443557,12712346710.27,421609544454.9179
2024-03-31,3508.179034840198,9389544682.53,421228933238.22833
2024-04-01,3646.280255509984,10500011934.77,437810934730.0388
2024-04-02,3505.4748002006,16002229167.51,420905248472.4164
2024-04-03,3278.345417993798,22077652341.91,393633319695.4249
2024-04-04,3311.9862156043896,16007076805.97,397667828263.82733
2024-04-05,3329.522067736719,14476676139.65,399769846956.5222
2024-04-06,3319.054645221373,15214130129.15,398512756045.5997
2024-04-07,3353.7634827455404,8957090271.6,402681245252.1714
2024-04-08,3453.962057148502,9929235384.17,414715795850.3515
2024-04-09,3695.2059920114402,19056260864.27,443685388405.6808
2024-04-10,3505.2583428651174,18280614534.62,420877999453.36475
2024-04-11,3545.3481393820525,16877559508.31,425690618578.29724
2024-04-12,3503.834095867911,14078460994.02,420707284652.04395
2024-04-13,3239.3602761979364,22111035278.99,388953107089.58575
2024-04-14,3012.0560607828784,29947354285.32,361658941041.05554
2024-04-15,3158.990705088833,25464291854.99,379294977012.51666
2024-04-16,3102.152666230227,21923921104.74,372473844765.0295
2024-04-17,3085.4711914686636,19440967484.48,370473783906.2472
2024-04-18,2985.4324603502173,17714666533.84,358466052045.1566
2024-04-19,3066.0286869062056,15182979510.69,368144554238.42914
2024-04-20,3058.767388082246,20407869812.47,367276471842.03815
2024-04-21,3157.4529278118453,9919653806.93,379140095330.4515
2024-04-22,3148.1222297735253,9393400029.83,378024117789.47894
2024-04-23,3201.6547568334086,12064927055.89,384456144553.5107
2024-04-24,3219.712318449655,11056149451.76,386627647764.8885
2024-04-25,3139.627319700015,14002385488.35,377014947834.69495
2024-04-26,3155.9336855486504,13987781131.73,378978506015.4552
2024-04-27,3129.9815782537544,10619169943.58,375867899257.39825
2024-04-28,3252.932403108815,11825025512.49,390638423086.43225
2024-04-29,3262.4635380910595,11379794329.96,391788094672.351
2024-04-30,3215.317315494621,15036460760.97,386129511262.739
2024-05-01,3011.292246850002,18266747650.01,361630332809.89825
2024-05-02,2968.9366389996558,20010900485.84,356550830713.1014
2024-05-03,2987.146427807801,13160687588.88,358731316990.28467
2024-05-04,3104.515494703425,12863623251.69,372833725048.87885
2024-05-05,3117.5410826496804,8283674310.81,374403532273.88916
2024-05-06,3137.361729083878,8784071506.58,376790068975.02185
2024-05-07,3062.583963684719,13011203300.65,367815098592.16376
2024-05-08,3005.8388522730015,11790572941.76,361005865921.8947
2024-05-09,2972.965350772283,11734381082.28,357063012232.16656
2024-05-10,3035.8416487932873,10863280403.94,364620498027.08594
2024-05-11,2909.614739696764,12278193520.28,349465999492.23236
2024-05-12,2911.7218113268664,6796593410.06,349724334776.35956
2024-05-13,2928.413026561294,5909099797.82,351735250126.9158
2024-05-14,2950.296889699739,13353967743.05,354369806863.162
2024-05-15,2881.014333876001,12444897732.57,346052999116.2788
2024-05-16,3035.473629424861,14668430677.45,364611187676.77094
2024-05-17,2944.990848125817,13016314709.32,353747619496.1204
2024-05-18,3093.7119794657306,14450260477.73,371617646386.27106
2024-05-19,3123.278109798368,9401193910.84,375175248425.93005
2024-05-20,3071.0782622323986,8749434125.11,368911259105.0427
2024-05-21,3661.6124830697395,31238239703.02,439856886855.10956
2024-05-22,3789.334684496352,37638859226.06,455203108222.113
2024-05-23,3736.8932812007865,25157318542.53,448907426608.14703
2024-05-24,3782.666319216881,45627166188.63,454411500966.156
2024-05-25,3726.9974962395167,22253456308.09,447728498028.3519
2024-05-26,3749.2711281395923,9999732616.42,450410303833.7637
2024-05-27,3824.465224103246,14657498854.91,459451648197.4717
2024-05-28,3891.4691997650084,18944821999.62,467508531536.27655
2024-05-29,3840.321139671429,19845498088.19,461367088338.9085
2024-05-30,3762.955364403787,17417115753.9,452075425198.615
2024-05-31,3746.764847220958,15053981171.51,450135197034.80383
2024-06-01,3759.1812208815795,15290888606.64,451630972308.264
2024-06-02,3813.314668783348,8660568791.28,458139596919.0089
2024-06-03,3779.2961079930856,11129132455.64,454059567509.2079
2024-06-04,3766.2462236259385,14082404819.98,452497728643.1067
2024-06-05,3811.5378819792863,13332324143.77,457943972799.2975
2024-06-06,3865.7226016992504,15478122962.21,464460222265.8512
2024-06-07,3812.0931390371397,13605613821.45,458019423031.7063
2024-06-08,3677.400324049733,18227922120.1,441838033121.64703
2024-06-09,3680.9360010653095,9095762898.15,442261598379.39996
2024-06-10,3705.877293614059,7911273525.44,445266141825.62946
2024-06-11,3666.3587754204736,10377788787,440528287920.1736
2024-06-12,3497.8969024021917,19185836575.27,420292267136.16656
2024-06-13,3559.7253193077254,17143240789.11,427716309095.298
2024-06-14,3467.970078966501,14472634608.02,416685586856.93115
2024-06-15,3479.785617018731,15793645885.21,418100117635.22296
2024-06-16,3566.761899685699,12734543944.49,428564510892.3387
2024-06-17,3622.3835665222505,9878372258.62,435245992045.3184
2024-06-18,3510.5652011549014,17841080230.13,421826930689.46796
2024-06-19,3482.3507206098966,21024455405.31,425811370195.32886
2024-06-20,3559.347309585332,15275373777.69,435222804696.7244
2024-06-21,3511.2683700574134,16107005961.62,429341110321.05066
2024-06-22,3516.551168126383,15933509610.16,429992372230.3545
2024-06-23,3494.9539342188446,7423428008.42,427349746294.6389
2024-06-24,3418.7831418411674,9418443624.14,418034985196.20404
2024-06-25,3350.55561123457,23137134267.03,402584961313.5779
2024-06-26,3394.3733738617593,13234340346.4,407925272126.91473
2024-06-27,3368.886147675013,11695198642.86,404869330306.71075
2024-06-28,3445.4987799798178,11772295535,414083059016.32666
2024-06-29,3373.6900128349243,12861348913.34,405459195116.3604
2024-06-30,3373.0756344151323,6584888976.46,405392146141.0837
2024-07-01,3432.6074808213234,8398135827.93,412555200310.82904
2024-07-02,3439.38135646102,12281288595.79,413376989893.1193
2024-07-03,3416.2548833837477,9421948192.13,410604537336.0689
