date,year,redemption_pct,min_steth_price,min_discount,min_discount_pct,steth_requested,steth_outstanding
2025-06-30,2025,0.0007326820007869064,2452.902220113432,-0.0039977203941284,-0.39977203941284,6662.673425796305,9093540.47
2025-07-01,2025,0.0005516627651428935,2407.4529122634613,-0.0020028867643263,-0.20028867643263,5021.177176085946,9101896.11
2025-07-02,2025,0.00043761473675469346,2400.054430621469,-0.0059115699890776,-0.5911569989077601,3982.174425589503,9099726.52
2025-07-03,2025,0.0019307495523038546,2564.153460160524,-0.0025409848290119,-0.25409848290118997,17572.088301701824,9101174.35
2025-07-04,2025,0.00032226588395195587,2482.045279593672,-0.0020111630693256,-0.20111630693255997,2932.8798929024665,9100807.87
2025-07-05,2025,0.00010216955468168981,2496.056693549393,-0.0020347955679455,-0.20347955679455,929.5925938650122,9098528.39
2025-07-06,2025,0.0002473202846808348,2507.3928161711992,-0.0026976284482816,-0.26976284482816,2249.398778915323,9095084.06
2025-07-07,2025,0.000744715006558519,2517.9143563297293,-0.0051971102657588,-0.51971102657588,6795.113009593961,9124447.539999997
2025-07-08,2025,0.0006096888300548359,2527.079780899924,-0.0024868130174527,-0.24868130174526998,5564.491765937155,9126773.35
2025-07-09,2025,0.0007831257709984405,2598.5177451781565,-0.0024116203822991,-0.24116203822991,7147.773933197424,9127236.260000002
2025-07-10,2025,0.0008907073276790434,2759.685359453175,-0.0093602226895896,-0.93602226895896,8131.992791292336,9129814.63
2025-07-11,2025,0.0009314297018305135,2934.0402029252427,-0.0028968057193465,-0.28968057193465,8502.32474985058,9128251.69
2025-07-12,2025,0.0016416555842603407,2910.5835814235656,-0.0037284222403041,-0.37284222403041,14984.567305516595,9127716.83
2025-07-13,2025,0.0013323024290737215,2938.346408566268,-0.0033322959782563,-0.33322959782563,12161.512414620383,9128192.03
2025-07-14,2025,0.0005578296363518861,2970.360951977308,-0.0021979308571382,-0.21979308571382,5091.944768715673,9128135.970000003
2025-07-15,2025,0.0004508745209271872,2949.774261364448,-0.0046797944414908,-0.46797944414908,4110.773062842476,9117332.81
2025-07-16,2025,0.00627539731227887,3110.5315046899777,-0.0054097821831805,-0.54097821831805,57174.96807147652,9110971.82
2025-07-17,2025,0.0031499982219869555,3324.785332751541,-0.0076018359097785,-0.76018359097785,28693.13132219347,9108935.72
2025-07-18,2025,0.012104257505284134,3470.652880310564,-0.0072081810928265,-0.72081810928265,110234.95696155018,9107122.59
2025-07-19,2025,0.0033690466903952996,3525.0587423048305,-0.0041505109128746,-0.41505109128746004,30674.969590390192,9104940.48
2025-07-20,2025,0.0017400850330226091,3581.2722168522,-0.0101993817513083,-1.01993817513083,15843.309422217377,9104905.29
2025-07-21,2025,0.0025076198669334742,3716.381959410412,-0.0052743536310106,-0.52743536310106,22824.92420533793,9102226.58
2025-07-22,2025,0.0025011392816620334,3640.105066163347,-0.0078985950791342,-0.7898595079134201,22763.96785312045,9101439.499999998
2025-07-23,2025,0.0014276591768089938,3563.0754831441977,-0.0070394469005495,-0.70394469005495,12994.023980165171,9101628.87
2025-07-24,2025,0.0039284069233409364,3537.2899044098617,-0.0049224206339776,-0.49224206339776,35562.50609474552,9052653.35
2025-07-25,2025,0.0010145374073348358,3588.574898356207,-0.0053889930234317,-0.53889930234317,9141.555284158136,9010565.03
2025-07-26,2025,0.0008135150690054024,3701.461333498078,-0.0033430609836729,-0.33430609836729,7329.712751843956,9009928.680000002
2025-07-27,2025,0.0005168364065890075,3738.170503605929,-0.0040932006599807,-0.40932006599807,4640.502649789904,8978668.28
2025-07-28,2025,0.0007516879609283257,3772.607773860468,-0.0024745684669792,-0.24745684669792,6750.824719043385,8980887.110000001
2025-07-29,2025,0.0009354022660067838,3738.353876079149,-0.0037071159044425,-0.37071159044425,8387.984931552819,8967248.890000002
2025-07-30,2025,0.0014417866778570663,3735.5508316632754,-0.0065030919426507,-0.65030919426507,12934.870247411613,8971417.51
2025-07-31,2025,0.0008741950375477895,3706.8110238232766,-0.0052113350500531,-0.52113350500531,7839.43988092152,8967609.68
2025-08-01,2025,0.002296918388237877,3458.4167920412747,-0.0025390052143366,-0.25390052143366,20596.034700565724,8966811.71
2025-08-02,2025,0.0009732692094728204,3377.5601351304385,-0.0064984126997165,-0.64984126997165,8727.163779980487,8966854.9
2025-08-03,2025,0.001327828330471766,3397.2784784185665,-0.0049535151729621,-0.49535151729620996,11833.793610359491,8912141.23
2025-08-04,2025,0.0025051045761002003,3500.969929208502,-0.0050285377619264,-0.50285377619264,22265.12640208156,8887902.97
2025-08-05,2025,0.000841125636915128,3560.230949688724,-0.0033591161613805,-0.33591161613805004,7476.660469197577,8888874.790000003
2025-08-06,2025,0.0005703478942959484,3568.490097435332,-0.0042497450840165,-0.42497450840164996,5066.520619994859,8883210.88
2025-08-07,2025,0.001203133410527043,3652.316104723124,-0.0058800298347372,-0.5880029834737199,10683.302669955983,8879566.120000001
2025-08-08,2025,0.0019382405974281947,3884.810074389013,-0.0056203888325564,-0.56203888325564,17204.476943060454,8876337.11
2025-08-09,2025,0.0029686312633427363,4007.219424279861,-0.0044565804860009,-0.44565804860009,26349.677578233543,8876035.87
2025-08-10,2025,0.0008209359518074399,4172.707748432112,-0.0050969975114578,-0.50969975114578,7286.777296216604,8876182.46
2025-08-11,2025,0.001150679170349625,4168.9259369973925,-0.0041351942645615,-0.41351942645615003,10214.992537780654,8877359.39
2025-08-12,2025,0.001923255418948692,4223.868218316982,-0.0044555464222564,-0.44555464222564,17052.979674065642,8866726.44
2025-08-13,2025,0.007085306400032532,4571.797901250404,-0.0048988739956472,-0.48988739956472,62644.72895460978,8841498.93
2025-08-14,2025,0.0019013968295961436,4464.892174910816,-0.0054718969074969,-0.54718969074969,16813.75891168567,8842845.77
2025-08-15,2025,0.0049796967420690135,4382.558364490731,-0.0061082728744724,-0.61082728744724,43995.00268601708,8834875.89
2025-08-16,2025,0.0004957640921264722,4389.804229300268,-0.0046914426724731,-0.46914426724731,4381.935285724694,8838750.84
2025-08-17,2025,0.0010330341247693138,4395.307328742813,-0.0067076258165795,-0.67076258165795,9116.561604820356,8825034.32
2025-08-18,2025,0.0013575034009142796,4239.687778250663,-0.0064184815713086,-0.64184815713086,11981.577715727512,8826186.15
2025-08-19,2025,0.0019951552048457473,4127.421142633928,-0.0070797000842361,-0.70797000842361,17612.55696306059,8827662.59
2025-08-20,2025,0.0007478974806178394,4063.54932328245,-0.0117353689606463,-1.17353689606463,6603.258908818187,8829096.34
2025-08-21,2025,0.0004374054545883237,4212.239932391572,-0.0050698886123612,-0.50698886123612,3861.71429786366,8828683.45
2025-08-22,2025,0.0013721107781238405,4208.235400814153,-0.0039614535567649,-0.39614535567649,12057.836701366296,8787801.17
